name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Ripon College,Wisconsin,WI,Private,4 Year,8400,43808,52208,43808,52208,10,Wisconsin,46300,89600,60,26
River Parishes Community College,Louisiana,LA,Public,2 Year,,4079,4079,8123,8123,,,,,,
River Valley Community College,New Hampshire,NH,Public,2 Year,,6720,6720,14970,14970,,,,,,
Riverland Community College,Minnesota,MN,Public,2 Year,,5580,5580,5580,5580,,,,,,
Riverside City College,California,CA,Public,2 Year,,1416,1416,9156,9156,,,,,,
Rivier University,New Hampshire,NH,Private,4 Year,12526,31790,44316,31790,44316,8,New-Hampshire,49500,85100,58,41
Roane State Community College,Tennessee,TN,Public,2 Year,,4443,4443,17349,17349,,,,,,
Roanoke College,Virginia,VA,Private,4 Year,13690,44030,57720,44030,57720,20,Virginia,48500,85100,53,18
Roanoke-Chowan Community College,North Carolina,NC,Public,2 Year,,2490,2490,8250,8250,,,,,,
Robert Morris University,Pennsylvania,PA,Private,4 Year,11400,30300,41700,30300,41700,,,,,,
Robert Morris University: Chicago,Illinois,IL,Private,4 Year,,28530,28530,28530,28530,,,,,,
Roberts Wesleyan College,New York,NY,Private,4 Year,10628,31818,42446,31818,42446,,,,,,
Robeson Community College,North Carolina,NC,Public,2 Year,,2394,2394,8154,8154,,,,,,
Rochester College,Michigan,MI,Private,4 Year,7376,24218,31594,24218,31594,,,,,,
Rochester Community and Technical College,Minnesota,MN,Public,2 Year,,6163,6163,6163,6163,,,,,,
Rochester Institute of Technology,New York,NY,Private,4 Year,13046,44130,57176,44130,57176,,,,,,
Rock Valley College,Illinois,IL,Public,2 Year,,3764,3764,15224,15224,,,,,,
Rockford University,Illinois,IL,Private,4 Year,8660,30930,39590,30930,39590,,,,,,
Rockhurst University,Missouri,MO,Private,4 Year,10200,37590,47790,37590,47790,7,Missouri,54000,92500,59,11
Rockingham Community College,North Carolina,NC,Public,2 Year,,2376,2376,8136,8136,,,,,,
Rockland Community College,New York,NY,Public,2 Year,,5326,5326,10072,10072,,,,,,
Rocky Mountain College,Montana,MT,Private,4 Year,8330,28512,36842,28512,36842,5,Montana,46000,82900,59,12
Roger Williams University,Rhode Island,RI,Private,4 Year,15890,34522,50412,34522,50412,8,Rhode-Island,52900,92700,48,12
Rogers State University,Oklahoma,OK,Public,4 Year,8616,6870,15486,15210,23826,22,Oklahoma,41400,73800,48,11
Rogue Community College,Oregon,OR,Public,2 Year,,5550,5550,6630,6630,,,,,,
Rollins College,Florida,FL,Private,4 Year,14735,49760,64495,49760,64495,18,Florida,49000,87000,53,7
Roosevelt University,Illinois,IL,Private,4 Year,13223,29832,43055,29832,43055,,,,,,
Rose State College,Oklahoma,OK,Public,2 Year,6370,4319,10689,10696,17066,,,,,,
Rose-Hulman Institute of Technology,Indiana,IN,Private,4 Year,14766,49871,64637,49871,64637,1,Indiana,75000,135800,51,96
Rosedale Bible College,Ohio,OH,Private,2 Year,5650,8731,14381,8731,14381,,,,,,
Rosedale Technical College,Pennsylvania,PA,Private,2 Year,,17225,17225,17225,17225,,,,,,
Roseman University of Health Sciences,Nevada,NV,Private,4 Year,,37309,37309,37309,37309,,,,,,
Rosemont College,Pennsylvania,PA,Private,4 Year,12438,19900,32338,19900,32338,,,,,,
Rowan College at Burlington County,New Jersey,NJ,Public,2 Year,,4755,4755,7185,7185,,,,,,
Rowan College at Gloucester,New Jersey,NJ,Public,2 Year,,4470,4470,9420,9420,,,,,,
Rowan University,New Jersey,NJ,Public,4 Year,12552,13697,26249,22339,34891,20,New-Jersey,51100,91200,43,21
Rowan-Cabarrus Community College,North Carolina,NC,Public,2 Year,,2409,2409,8169,8169,,,,,,
Roxbury Community College,Massachusetts,MA,Public,2 Year,,6960,6960,13590,13590,,,,,,
Rush University,Illinois,IL,Private,4 Year,,24900,24900,24900,24900,5,Illinois,63500,107600,88,6
Rust College,Mississippi,MS,Private,4 Year,4300,9900,14200,9900,14200,13,Mississippi,34800,62400,76,32
Rutgers University,New Jersey,NJ,Public,4 Year,12706,14974,27680,31282,43988,,,,,,
"Rutgers, The State University of New Jersey: Camden Campus",New Jersey,NJ,Public,4 Year,12336,14835,27171,30613,42949,,,,,,
"Rutgers, The State University of New Jersey: Newark Campus",New Jersey,NJ,Public,4 Year,13536,14409,27945,30717,44253,,,,,,
Sacramento City College,California,CA,Public,2 Year,,1416,1416,9546,9546,,,,,,
Sacred Heart Major Seminary,Michigan,MI,Private,4 Year,10675,19840,30515,19840,30515,,,,,,
Sacred Heart University,Connecticut,CT,Private,4 Year,15310,41420,56730,41420,56730,9,Connecticut,55000,100500,46,15
Saddleback College,California,CA,Public,2 Year,,1418,1418,10058,10058,,,,,,
Sage College,California,CA,For Profit,2 Year,,9400,9400,9400,9400,,,,,,
Saginaw Chippewa Tribal College,Michigan,MI,Public,2 Year,,2550,2550,2550,2550,,,,,,
Saginaw Valley State University,Michigan,MI,Public,4 Year,10186,10308,20494,24215,34401,25,Michigan,46400,82200,54,12
Saint Anselm College,New Hampshire,NH,Private,4 Year,14500,41200,55700,41200,55700,2,New-Hampshire,56400,100300,59,11
Saint Anthony College of Nursing,Illinois,IL,Private,4 Year,,25948,25948,25948,25948,,,,,,
Saint Augustine's University,North Carolina,NC,Private,4 Year,7692,17890,25582,17890,25582,,,,,,
Saint Bonaventure University,New York,NY,Private,4 Year,13055,34301,47356,34301,47356,,,,,,
Saint Cloud State University,Minnesota,MN,Public,4 Year,8900,8912,17812,17146,26046,11,Minnesota,51600,91600,50,15
Saint Johns River State College,Florida,FL,Public,2 Year,,3240,3240,11608,11608,,,,,,
Saint Joseph's College,Indiana,IN,Private,4 Year,13280,34880,48160,34880,48160,,,,,,
Saint Joseph's College of Maine,Maine,ME,Private,4 Year,13680,35650,49330,35650,49330,7,Maine,46900,84300,60,2
Saint Joseph's University,Pennsylvania,PA,Private,4 Year,14840,44973,59813,44973,59813,14,Pennsylvania,57300,105100,41,6
Saint Leo University,Florida,FL,Private,4 Year,10570,22280,32850,22280,32850,,,,,,
Saint Louis University,Missouri,MO,Private,4 Year,12290,43884,56174,43884,56174,4,Missouri,54200,95300,56,13
Saint Luke's College of Health Sciences,Missouri,MO,Private,4 Year,,17045,17045,17045,17045,,,,,,
Saint Martin's University,Washington,WA,Private,4 Year,11445,37356,48801,37356,48801,15,Washington,53200,91800,60,29
Saint Mary's College,Indiana,IN,Private,4 Year,12580,42220,54800,42220,54800,12,Indiana,49700,89300,54,15
Saint Mary's College of California,California,CA,Private,4 Year,15370,47280,62650,47280,62650,21,California,59900,110800,51,5
Saint Michael's College,Vermont,VT,Private,4 Year,12220,45375,57595,45375,57595,4,Vermont,52900,98500,40,18
Saint Peter's University,New Jersey,NJ,Private,4 Year,15414,37486,52900,37486,52900,12,New-Jersey,52900,95900,35,14
Saint Thomas University,Florida,FL,Private,4 Year,11700,33222,44922,33222,44922,,,,,,
Saint Xavier University,Illinois,IL,Private,4 Year,11340,33880,45220,33880,45220,20,Illinois,49400,91200,60,10
Salem College,North Carolina,NC,Private,4 Year,11850,29416,41266,29416,41266,,,,,,
Salem Community College,New Jersey,NJ,Public,2 Year,,5070,5070,6600,6600,,,,,,
Salem International University,West Virginia,WV,For Profit,4 Year,7480,12920,20400,12920,20400,,,,,,
Salem State University,Massachusetts,MA,Public,4 Year,12722,10884,23606,17024,29746,,,,,,
Salisbury University,Maryland,MD,Public,4 Year,11950,9824,21774,19526,31476,19,Maryland,50400,89800,51,12
Salish Kootenai College,Montana,MT,Private,4 Year,,6399,6399,11583,11583,,,,,,
Salt Lake Community College,Utah,UT,Public,2 Year,,3843,3843,12206,12206,,,,,,
Salve Regina University,Rhode Island,RI,Private,4 Year,14500,40550,55050,40550,55050,6,Rhode-Island,53000,93900,50,6
Sam Houston State University,Texas,TX,Public,4 Year,9386,10183,19569,22633,32019,,,,,,
Samford University,Alabama,AL,Private,4 Year,10550,31650,42200,31650,42200,5,Alabama,48400,90500,52,3
Sampson Community College,North Carolina,NC,Public,2 Year,,2357,2357,8117,8117,,,,,,
San Antonio College,Texas,TX,Public,2 Year,,2720,2720,13730,13730,,,,,,
San Bernardino Valley College,California,CA,Public,2 Year,,1420,1420,10120,10120,,,,,,
San Diego Christian College,California,CA,Private,4 Year,11640,31404,43044,31404,43044,,,,,,
San Diego City College,California,CA,Public,2 Year,,1418,1418,8048,8048,,,,,,
San Diego Mesa College,California,CA,Public,2 Year,,1418,1418,8048,8048,,,,,,
San Diego Miramar College,California,CA,Public,2 Year,,1437,1437,8067,8067,,,,,,
San Diego State University,California,CA,Public,4 Year,16735,7488,24223,19368,36103,,,,,,
San Francisco Art Institute,California,CA,Private,4 Year,15709,46534,62243,46534,62243,,,,,,
San Francisco Conservatory of Music,California,CA,Private,4 Year,14510,46110,60620,46110,60620,,,,,,
San Francisco State University,California,CA,Public,4 Year,15151,7260,22411,19140,34291,,,,,,
San Jacinto College : South Campus,Texas,TX,Public,2 Year,,1860,1860,5160,5160,,,,,,
San Joaquin Delta College,California,CA,Public,2 Year,,1380,1380,9480,9480,,,,,,
San Jose City College,California,CA,Public,2 Year,,1448,1448,8438,8438,,,,,,
San Jose State University,California,CA,Public,4 Year,16442,7796,24238,17300,33742,17,California,63000,114700,53,28
San Juan College,New Mexico,NM,Public,2 Year,,1582,1582,4126,4126,,,,,,
Sandhills Community College,North Carolina,NC,Public,2 Year,,2446,2446,8206,8206,,,,,,
Santa Ana College,California,CA,Public,2 Year,,1418,1418,10208,10208,,,,,,
Santa Barbara City College,California,CA,Public,2 Year,,1496,1496,10046,10046,,,,,,
Santa Clara University,California,CA,Private,4 Year,14910,51711,66621,51711,66621,6,California,69900,134700,44,29
Santa Fe College,Florida,FL,Public,2 Year,,3203,3203,11487,11487,,,,,,
Santa Fe Community College,New Mexico,NM,Public,2 Year,,1755,1755,4605,4605,,,,,,
Santa Monica College,California,CA,Public,2 Year,,1444,1444,11164,11164,,,,,,
Santa Rosa Junior College,California,CA,Public,2 Year,,1430,1430,10460,10460,,,,,,
Santiago Canyon College,California,CA,Public,2 Year,,1418,1418,10208,10208,,,,,,
Sarah Lawrence College,New York,NY,Private,4 Year,15370,55900,71270,55900,71270,,,,,,
Sauk Valley Community College,Illinois,IL,Public,2 Year,,4470,4470,12120,12120,,,,,,
Savannah College of Art and Design,Georgia,GA,Private,4 Year,14550,36630,51180,36630,51180,21,Georgia,46800,80100,34,3
Savannah State University,Georgia,GA,Public,4 Year,7762,6794,14556,19870,27632,,,,,,
Savannah Technical College,Georgia,GA,Public,2 Year,,3278,3278,5948,5948,,,,,,
Schenectady County Community College,New York,NY,Public,2 Year,,4948,4948,9124,9124,,,,,,
Schiller International University,Florida,FL,For Profit,4 Year,,17700,17700,17700,17700,,,,,,
School of Advertising Art,Ohio,OH,For Profit,2 Year,,32988,32988,32988,32988,,,,,,
School of the Art Institute of Chicago,Illinois,IL,Private,4 Year,15890,49270,65160,49270,65160,,,,,,
School of the Museum of Fine Arts,Massachusetts,MA,Private,4 Year,14560,56382,70942,56382,70942,,,,,,
School of Visual Arts,New York,NY,For Profit,4 Year,17500,39900,57400,39900,57400,,,,,,
Schoolcraft College,Michigan,MI,Public,2 Year,,4226,4226,8126,8126,,,,,,
Schreiner University,Texas,TX,Private,4 Year,10508,27960,38468,27960,38468,,,,,,
Scott Community College,Iowa,IA,Public,2 Year,,4864,4864,6870,6870,,,,,,
Scottsdale Community College,Arizona,AZ,Public,2 Year,,2580,2580,12330,12330,,,,,,
Scripps College,California,CA,Private,4 Year,16932,55024,71956,55024,71956,,,,,,
Seattle Central College,Washington,WA,Public,2 Year,,4228,4228,4663,4663,,,,,,
Seattle Pacific University,Washington,WA,Private,4 Year,11796,42939,54735,42939,54735,6,Washington,53600,103400,52,9
Seattle University,Washington,WA,Private,4 Year,12288,44610,56898,44610,56898,1,Washington,60600,113700,59,12
Selma University,Alabama,AL,Private,4 Year,6400,7885,14285,7885,14285,,,,,,
Seminole State College,Oklahoma,OK,Public,2 Year,7070,5040,12110,11160,18230,,,,,,
Seminole State College of Florida,Florida,FL,Public,2 Year,,3131,3131,11456,11456,,,,,,
Sessions College for Professional Design,Arizona,AZ,Private,2 Year,,8775,8775,8775,8775,,,,,,
Seton Hall University,New Jersey,NJ,Private,4 Year,15800,42470,58270,42470,58270,5,New-Jersey,57100,103800,45,8
Seton Hill University,Pennsylvania,PA,Private,4 Year,11884,35748,47632,35748,47632,,,,,,
Sewanee: The University of the South,Tennessee,TN,Private,4 Year,12880,45120,58000,45120,58000,,,,,,
Seward County Community College,Kansas,KS,Public,2 Year,5010,2970,7980,4110,9120,,,,,,
Shasta Bible College and Graduate School,California,CA,Private,4 Year,2800,11350,14150,11350,14150,,,,,,
Shasta College,California,CA,Public,2 Year,,1418,1418,8438,8438,,,,,,
Shaw University,North Carolina,NC,Private,4 Year,8158,16480,24638,16480,24638,,,,,,
Shawnee Community College,Illinois,IL,Public,2 Year,,3600,3600,5910,5910,,,,,,
Shawnee State University,Ohio,OH,Public,4 Year,10864,8556,19420,14714,25578,,,,,,
Shelton State Community College,Alabama,AL,Public,2 Year,,4467,4467,8337,8337,,,,,,
Shenandoah University,Virginia,VA,Private,4 Year,10370,32530,42900,32530,42900,18,Virginia,48700,86600,57,7
Shepherd University,West Virginia,WV,Public,4 Year,10500,7548,18048,18048,28548,4,West-Virginia,47100,87100,48,12
Sheridan College,Wyoming,WY,Public,2 Year,7443,3396,10839,7908,15351,,,,,,
Shiloh University,Iowa,IA,Private,4 Year,,4800,4800,4800,4800,,,,,,
Shippensburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,12268,12718,24986,20510,32778,,,,,,
Shor Yoshuv Rabbinical College,New York,NY,Private,4 Year,6000,9460,15460,9460,15460,,,,,,
Shoreline Community College,Washington,WA,Public,2 Year,10260,4730,14990,7268,17528,,,,,,
Shorter University,Georgia,GA,Private,4 Year,9400,22370,31770,22370,31770,22,Georgia,45600,79900,55,6
Siena College,New York,NY,Private,4 Year,15000,37575,52575,37575,52575,,,,,,
Siena Heights University,Michigan,MI,Private,4 Year,10620,27124,37744,27124,37744,,,,,,
Sierra College,California,CA,Public,2 Year,11063,1430,12493,9010,20073,,,,,,
Sierra Nevada College,Nevada,NV,Private,4 Year,13357,34241,47598,34241,47598,1,Nevada,54000,95500,39,2
Silicon Valley University,California,CA,Private,4 Year,,10725,10725,10725,10725,,,,,,
Silver Lake College of the Holy Family,Wisconsin,WI,Private,4 Year,8400,28390,36790,28390,36790,,,,,,
Simmons College,Massachusetts,MA,Private,4 Year,15200,40800,56000,40800,56000,,,,,,
Simpson College,Iowa,IA,Private,4 Year,8380,39144,47524,39144,47524,11,Iowa,49900,88600,47,17
Simpson University,California,CA,Private,4 Year,8140,27700,35840,27700,35840,,,,,,
Sinclair Community College,Ohio,OH,Public,2 Year,,3650,3650,9140,9140,,,,,,
Sinte Gleska University,South Dakota,SD,Public,4 Year,,3700,3700,3700,3700,,,,,,
Sisseton Wahpeton College,South Dakota,SD,Public,2 Year,,3250,3250,3250,3250,,,,,,
Sitting Bull College,North Dakota,ND,Public,2 Year,,3980,3980,3980,3980,,,,,,
Skagit Valley College,Washington,WA,Public,2 Year,,4800,4800,4800,4800,,,,,,
Skidmore College,New York,NY,Private,4 Year,14494,54420,68914,54420,68914,,,,,,
Skyline College,California,CA,Public,2 Year,,1446,1446,8676,8676,,,,,,
Slippery Rock University of Pennsylvania,Pennsylvania,PA,Public,4 Year,10312,10517,20829,18233,28545,,,,,,
Smith College,Massachusetts,MA,Private,4 Year,17520,52404,69924,52404,69924,24,Massachusetts,52700,98200,51,26
Snead State Community College,Alabama,AL,Public,2 Year,3611,4800,8411,8670,12281,,,,,,
Snow College,Utah,UT,Public,2 Year,3388,3742,7130,12562,15950,,,,,,
Soka University of America,California,CA,Private,4 Year,12530,31310,43840,31310,43840,,,,,,
Solano Community College,California,CA,Public,2 Year,,1406,1406,9296,9296,,,,,,
Somerset Community College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,
Sonoma State University,California,CA,Public,4 Year,13960,7798,21758,19678,33638,,,,,,
South Arkansas Community College,Arkansas,AR,Public,2 Year,,3360,3360,6000,6000,,,,,,
South Carolina State University,South Carolina,SC,Public,4 Year,9890,11060,20950,21750,31640,10,South-Carolina,44500,80800,71,16
South Central College,Minnesota,MN,Public,2 Year,,5416,5416,5416,5416,,,,,,
South Coast College,California,CA,For Profit,2 Year,,11594,11594,11594,11594,,,,,,
South College,Tennessee,TN,For Profit,4 Year,,21075,21075,21075,21075,,,,,,
South Dakota School of Mines and Technology,South Dakota,SD,Public,4 Year,8440,9779,18219,14021,22461,1,South-Dakota,66500,118500,58,92
South Dakota State University,South Dakota,SD,Public,4 Year,7896,8764,16660,12128,20024,2,South-Dakota,50500,91900,58,18
South Florida State College,Florida,FL,Public,2 Year,,3136,3136,11829,11829,,,,,,
South Georgia State College,Georgia,GA,Public,4 Year,8540,3810,12350,11556,20096,,,,,,
South Louisiana Community College,Louisiana,LA,Public,2 Year,,4205,4205,7810,7810,,,,,,
South Mountain Community College,Arizona,AZ,Public,2 Year,,2580,2580,9810,9810,,,,,,
South Piedmont Community College,North Carolina,NC,Public,2 Year,,2515,2515,8275,8275,,,,,,
South Plains College,Texas,TX,Public,2 Year,4368,2762,7130,4922,9290,,,,,,
South Puget Sound Community College,Washington,WA,Public,2 Year,,4182,4182,9613,9613,,,,,,
South Seattle College,Washington,WA,Public,2 Year,,4477,4477,4912,4912,,,,,,
South Suburban College of Cook County,Illinois,IL,Public,2 Year,,5093,5093,12683,12683,,,,,,
South Texas College,Texas,TX,Public,2 Year,,3800,3800,7700,7700,,,,,,
Southeast Arkansas College,Arkansas,AR,Public,2 Year,,3850,3850,6730,6730,,,,,,
Southeast Community College,Nebraska,NE,Public,2 Year,4930,3128,8058,3758,8688,,,,,,
Southeast Kentucky Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,
Southeast Missouri Hospital College of Nursing and Health Sciences,Missouri,MO,Private,2 Year,,12460,12460,12460,12460,,,,,,
Southeast Missouri State University,Missouri,MO,Public,4 Year,8935,7418,16353,13155,22090,20,Missouri,43700,79100,52,9
Southeast Technical Institute,South Dakota,SD,Public,2 Year,,7200,7200,7200,7200,,,,,,
Southeastern Baptist College,Mississippi,MS,Private,4 Year,1700,6550,8250,6550,8250,,,,,,
Southeastern Community College,Iowa,IA,Public,2 Year,,5580,5580,5730,5730,,,,,,
Southeastern Community College,North Carolina,NC,Public,2 Year,,2437,2437,8197,8197,,,,,,
Southeastern Illinois College,Illinois,IL,Public,2 Year,,3480,3480,5700,5700,,,,,,
Southeastern Louisiana University,Louisiana,LA,Public,4 Year,8420,8165,16585,20643,29063,15,Louisiana,46700,83900,51,8
Southeastern Oklahoma State University,Oklahoma,OK,Public,4 Year,6970,6750,13720,15390,22360,14,Oklahoma,45000,80500,53,15
Southeastern Technical College,Georgia,GA,Public,2 Year,,3368,3368,6740,6740,,,,,,
Southeastern University,Florida,FL,Private,4 Year,9550,25360,34910,25360,34910,,,,,,
Southern Adventist University,Tennessee,TN,Private,4 Year,6940,21950,28890,21950,28890,10,Tennessee,47500,84000,67,9
Southern Arkansas University,Arkansas,AR,Public,4 Year,6240,8676,14916,12786,19026,,,,,,
Southern Arkansas University Tech,Arkansas,AR,Public,2 Year,2800,5250,8050,6690,9490,,,,,,
Southern Baptist Theological Seminary,Kentucky,KY,Private,4 Year,,12985,12985,12985,12985,,,,,,
Southern California Institute of Architecture,California,CA,Private,4 Year,,44960,44960,44960,44960,,,,,,
Southern California Institute of Technology,California,CA,For Profit,4 Year,,17000,17000,17000,17000,,,,,,
Southern California Seminary,California,CA,Private,4 Year,5580,13300,18880,13300,18880,,,,,,
Southern Connecticut State University,Connecticut,CT,Public,4 Year,12860,10875,23735,22115,34975,20,Connecticut,48500,83600,51,6
